customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,No,42,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.82,4290.51,No
CUST-00002,Female,1,Yes,Yes,68,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,19.75,1465.71,No
CUST-00003,Male,0,No,Yes,62,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),80.89,4521.28,No
CUST-00004,Male,0,Yes,No,69,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,44.77,3182.57,No
CUST-00005,Male,0,Yes,No,64,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),98.9,5865.77,No
CUST-00006,Female,1,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,99.9,6655.51,No
CUST-00007,Male,0,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.78,1131.84,No
CUST-00008,Male,0,No,No,35,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,77.56,2461.77,No
CUST-00009,Male,0,No,No,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,103.09,7735.54,No
CUST-00010,Female,0,No,No,14,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,76.74,1058.02,Yes
CUST-00011,Male,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,60.55,983.07,No
CUST-00012,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.68,83.93,No
CUST-00013,Male,0,No,No,10,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,91.03,834.2,No
CUST-00014,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.46,123.44,No
CUST-00015,Female,0,Yes,No,50,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,77.79,3638.52,No
CUST-00016,Male,0,No,No,57,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,109.76,6870.94,No
